#,Hanzi,Unicode,Mandarin reading(s),level
521,次,U+6B21,cì,1
522,产,U+4EA7,chǎn,1
523,决,U+51B3,jué,1
524,亥,U+4EA5,hài,1
525,充,U+5145,chōng,1
526,妄,U+5984,wàng,1
527,闭,U+95ED,bì,1
528,问,U+95EE,wèn,1
529,闯,U+95EF,chuǎng,1
530,羊,U+7F8A,yáng,1
531,并,U+5E76,"bīng, bìng",1
532,关,U+5173,guān,1
533,米,U+7C73,mǐ,1
534,灯,U+706F,dēng,1
535,州,U+5DDE,zhōu,1
536,汗,U+6C57,"hán, hàn",1
537,污,U+6C61,wū,1
538,江,U+6C5F,jiāng,1
539,汛,U+6C5B,xùn,1
540,池,U+6C60,chí,1
541,汝,U+6C5D,rǔ,1
542,汤,U+6C64,tāng,1
543,忙,U+5FD9,máng,1
544,兴,U+5174,"xīng, xìng",1
545,宇,U+5B87,yǔ,1
546,守,U+5B88,shǒu,1
547,宅,U+5B85,zhái,1
548,字,U+5B57,zì,1
549,安,U+5B89,ān,1
550,讲,U+8BB2,jiǎng,1
551,讳,U+8BB3,huì,1
552,军,U+519B,jūn,1
553,讶,U+8BB6,yà,1
554,许,U+8BB8,xǔ,1
555,讹,U+8BB9,é,1
556,论,U+8BBA,"lún, lùn",1
557,讼,U+8BBC,sòng,1
558,农,U+519C,nóng,1
559,讽,U+8BBD,fěng,1
560,设,U+8BBE,shè,1
561,访,U+8BBF,fǎng,1
562,诀,U+8BC0,jué,1
563,寻,U+5BFB,xún,1
564,那,U+90A3,"nā, nà",1
565,迅,U+8FC5,xùn,1
566,尽,U+5C3D,"jǐn, jìn",1
567,导,U+5BFC,dǎo,1
568,异,U+5F02,yì,1
569,弛,U+5F1B,chí,1
570,孙,U+5B59,sūn,1
571,阵,U+9635,zhèn,1
572,阳,U+9633,yáng,1
573,收,U+6536,shōu,1
574,阶,U+9636,jiē,1
575,阴,U+9634,yīn,1
576,防,U+9632,fáng,1
577,奸,U+5978,jiān,1
578,如,U+5982,rú,1
579,妇,U+5987,fù,1
580,妃,U+5983,fēi,1
581,好,U+597D,"hǎo, hào",1
582,她,U+5979,tā,1
583,妈,U+5988,mā,1
584,戏,U+620F,xì,1
585,羽,U+7FBD,yǔ,1
586,观,U+89C2,"guān, guàn",1
587,欢,U+6B22,huān,1
588,买,U+4E70,mǎi,1
589,红,U+7EA2,hóng,1
590,驮,U+9A6E,"duò, tuó",1
591,纤,U+7EA4,"qiàn, xiān",1
592,驯,U+9A6F,xùn,1
593,约,U+7EA6,"yāo, yuē",1
594,级,U+7EA7,jí,1
595,纪,U+7EAA,"jǐ, jì",1
596,驰,U+9A70,chí,1
597,纫,U+7EAB,rèn,1
598,巡,U+5DE1,xún,1
599,寿,U+5BFF,shòu,1
600,弄,U+5F04,"lòng, nòng",1
601,麦,U+9EA6,mài,1
602,玖,U+7396,jiǔ,1
603,玛,U+739B,mǎ,1
604,形,U+5F62,xíng,1
605,进,U+8FDB,jìn,1
606,戒,U+6212,jiè,1
607,吞,U+541E,tūn,1
608,远,U+8FDC,yuǎn,1
609,违,U+8FDD,wéi,1
610,韧,U+97E7,rèn,1
611,运,U+8FD0,yùn,1
612,扶,U+6276,fú,1
613,抚,U+629A,fǔ,1
614,坛,U+575B,tán,1
615,技,U+6280,jì,1
616,坏,U+574F,huài,1
617,抠,U+62A0,kōu,1
618,扰,U+6270,rǎo,1
619,扼,U+627C,è,1
620,拒,U+62D2,jù,1
621,找,U+627E,zhǎo,1
622,批,U+6279,pī,1
623,址,U+5740,zhǐ,1
624,扯,U+626F,chě,1
625,走,U+8D70,zǒu,1
626,抄,U+6284,chāo,1
627,贡,U+8D21,gòng,1
628,汞,U+6C5E,gǒng,1
629,坝,U+575D,bà,1
630,攻,U+653B,gōng,1
631,赤,U+8D64,chì,1
632,折,U+6298,"shé, zhē, zhé",1
633,抓,U+6293,zhuā,1
634,扳,U+6273,bān,1
635,抡,U+62A1,lūn,1
636,扮,U+626E,bàn,1
637,抢,U+62A2,"qiāng, qiǎng",1
638,孝,U+5B5D,xiào,1
639,坎,U+574E,kǎn,1
640,均,U+5747,jūn,1
641,抑,U+6291,yì,1
642,抛,U+629B,pāo,1
643,投,U+6295,tóu,1
644,坟,U+575F,fén,1
645,坑,U+5751,kēng,1
646,抗,U+6297,kàng,1
647,坊,U+574A,"fāng, fáng",1
648,抖,U+6296,dǒu,1
649,护,U+62A4,hù,1
650,壳,U+58F3,"ké, qiào",1
651,志,U+5FD7,zhì,1
652,块,U+5757,kuài,1
653,扭,U+626D,niǔ,1
654,声,U+58F0,shēng,1
655,把,U+628A,"bǎ, bà",1
656,报,U+62A5,bào,1
657,拟,U+62DF,nǐ,1
658,却,U+5374,què,1
659,抒,U+6292,shū,1
660,劫,U+52AB,jié,1
661,芙,U+8299,fú,1
662,芜,U+829C,wú,1
663,苇,U+82C7,wěi,1
664,芽,U+82BD,yá,1
665,花,U+82B1,huā,1
666,芹,U+82B9,qín,1
667,芥,U+82A5,"gài, jiè",1
668,芬,U+82AC,fēn,1
669,苍,U+82CD,cāng,1
670,芳,U+82B3,fāng,1
671,严,U+4E25,yán,1
672,芦,U+82A6,"lú, lǔ",1
673,芯,U+82AF,"xīn, xìn",1
674,劳,U+52B3,láo,1
675,克,U+514B,kè,1
676,芭,U+82AD,bā,1
677,苏,U+82CF,sū,1
678,杆,U+6746,"gān, gǎn",1
679,杠,U+6760,gàng,1
680,杜,U+675C,dù,1
681,材,U+6750,cái,1
682,村,U+6751,cūn,1
683,杖,U+6756,zhàng,1
684,杏,U+674F,xìng,1
685,杉,U+6749,"shā, shān",1
686,巫,U+5DEB,wū,1
687,极,U+6781,jí,1
688,李,U+674E,lǐ,1
689,杨,U+6768,yáng,1
690,求,U+6C42,qiú,1
691,甫,U+752B,fǔ,1
692,匣,U+5323,xiá,1
693,更,U+66F4,"gēng, gèng",1
694,束,U+675F,shù,1
695,吾,U+543E,wú,1
696,豆,U+8C46,dòu,1
697,两,U+4E24,liǎng,1
698,酉,U+9149,yǒu,1
699,丽,U+4E3D,"lí, lì",1
700,医,U+533B,yī,1
701,辰,U+8FB0,chén,1
702,励,U+52B1,lì,1
703,否,U+5426,"fǒu, pǐ",1
704,还,U+8FD8,"hái, huán",1
705,尬,U+5C2C,gà,1
706,歼,U+6B7C,jiān,1
707,来,U+6765,lái,1
708,连,U+8FDE,lián,1
709,轩,U+8F69,xuān,1
710,步,U+6B65,bù,1
711,卤,U+5364,lǔ,1
712,坚,U+575A,jiān,1
713,肖,U+8096,"xiāo, xiào",1
714,旱,U+65F1,hàn,1
715,盯,U+76EF,dīng,1
716,呈,U+5448,chéng,1
717,时,U+65F6,shí,1
718,吴,U+5434,wú,1
719,助,U+52A9,zhù,1
720,县,U+53BF,xiàn,1
721,里,U+91CC,lǐ,1
722,呆,U+5446,dāi,1
723,吱,U+5431,"zhī, zī",1
724,吠,U+5420,fèi,1
725,呕,U+5455,ǒu,1
726,园,U+56ED,yuán,1
727,旷,U+65F7,kuàng,1
728,围,U+56F4,wéi,1
729,呀,U+5440,"yā, ya",1
730,吨,U+5428,dūn,1
731,足,U+8DB3,zú,1
732,邮,U+90AE,yóu,1
733,男,U+7537,nán,1
734,困,U+56F0,kùn,1
735,吵,U+5435,"chāo, chǎo",1
736,串,U+4E32,chuàn,1
737,员,U+5458,"yuán, yùn",1
738,呐,U+5450,nà,1
739,听,U+542C,tīng,1
740,吟,U+541F,yín,1
741,吩,U+5429,fēn,1
742,呛,U+545B,"qiāng, qiàng",1
743,吻,U+543B,wěn,1
744,吹,U+5439,chuī,1
745,呜,U+545C,wū,1
746,吭,U+542D,"háng, kēng",1
747,吧,U+5427,"bā, ba",1
748,邑,U+9091,yì,1
749,吼,U+543C,hǒu,1
750,囤,U+56E4,"dùn, tún",1
751,别,U+522B,"bié, biè",1
752,吮,U+542E,shǔn,1
753,岖,U+5C96,qū,1
754,岗,U+5C97,"gāng, gǎng",1
755,帐,U+5E10,zhàng,1
756,财,U+8D22,cái,1
757,针,U+9488,zhēn,1
758,钉,U+9489,"dīng, dìng",1
759,牡,U+7261,mǔ,1
760,告,U+544A,gào,1
761,我,U+6211,wǒ,1
762,乱,U+4E71,luàn,1
763,利,U+5229,lì,1
764,秃,U+79C3,tū,1
765,秀,U+79C0,xiù,1
766,私,U+79C1,sī,1
767,每,U+6BCF,měi,1
768,兵,U+5175,bīng,1
769,估,U+4F30,"gū, gù",1
770,体,U+4F53,"tī, tǐ",1
771,何,U+4F55,hé,1
772,佐,U+4F50,zuǒ,1
773,佑,U+4F51,yòu,1
774,但,U+4F46,dàn,1
775,伸,U+4F38,shēn,1
776,佃,U+4F43,diàn,1
777,作,U+4F5C,"zuō, zuò",1
778,伯,U+4F2F,"bǎi, bó",1
779,伶,U+4F36,líng,1
780,佣,U+4F63,"yōng, yòng",1
781,低,U+4F4E,dī,1
782,你,U+4F60,nǐ,1
783,住,U+4F4F,zhù,1
784,位,U+4F4D,wèi,1
785,伴,U+4F34,bàn,1
786,身,U+8EAB,shēn,1
787,皂,U+7682,zào,1
788,伺,U+4F3A,"cì, sì",1
789,佛,U+4F5B,"fó, fú",1
790,囱,U+56F1,cōng,1
791,近,U+8FD1,jìn,1
792,彻,U+5F7B,chè,1
793,役,U+5F79,yì,1
794,返,U+8FD4,fǎn,1
795,余,U+4F59,yú,1
796,希,U+5E0C,xī,1
797,坐,U+5750,zuò,1
